date,long_short_return,gross_exposure,n_stocks,cumulative_return
2022-09-21,0.0009173263855674953,0.8459372449348583,4190,0.0005658576360549894
2022-09-22,-0.0004424079341728328,0.8491629718447359,4195,0.00012319936197435766
2022-09-23,0.00201315673458859,0.8582988409799445,4190,0.002136604116188323
2022-09-26,-0.00182496330329882,0.8629635276658977,4187,0.000307741588783772
2022-09-27,-0.001830042154841089,0.8693215712755878,4201,-0.001522863746137526
2022-09-28,0.004954644431603805,0.8656047048791812,4216,0.003424235437086365
2022-09-29,-0.0025182979538176707,0.8595255229571267,4240,0.000897314238174074
2022-09-30,0.003044531289177348,0.8584211621384149,4237,0.003944577428625751
2022-10-10,0.0038227413550079178,0.8562981343390822,4245,0.007782397882897918
2022-10-11,-0.0035663273970074857,0.8555279285680657,4256,0.0041883159071063325
2022-10-12,-0.008024118206707878,0.8541976984577275,4245,-0.0038694098415271716
2022-10-13,-0.00267421505008991,0.8503525316836265,4257,-0.006533277257583903
2022-10-14,-0.002394669714453517,0.8455591200661623,4260,-0.008912301930852573
2022-10-17,-0.0028079136151859495,0.8454809408231017,4267,-0.01169519057210422
2022-10-18,0.00020038359954193714,0.8381869525603541,4255,-0.011497150496946551
2022-10-19,-0.0003888830514488108,0.8354817171405956,4280,-0.011881562501427134
2022-10-20,0.000539367104131414,0.8333016959741383,4264,-0.011348603921254696
2022-10-21,-0.000802123730870089,0.8342454291609815,4263,-0.012141624667607265
2022-10-24,-0.0010680403387917467,0.8346888875481735,4274,-0.013196697261475543
2022-10-25,-0.0028500110177886013,0.8322512237218119,4290,-0.01600909754667046
2022-10-26,-0.0006566266371596705,0.8263627532386485,4299,-0.016655212183944168
2022-10-27,0.0005902000021286718,0.8242622324810344,4312,-0.016074842088081853
2022-10-28,0.006559466974340042,0.8198521431511481,4321,-0.00962081750953625
2022-10-31,-0.0012060074267795685,0.8144652668240321,4343,-0.01081522215894759
2022-11-01,-0.003328017771593358,0.8180395691265256,4347,-0.014107246678992214
2022-11-02,-0.0015545630491272592,0.8183089679003588,4362,-0.015639879123707345
2022-11-03,-0.002007673714062696,0.8188449617594309,4361,-0.017616153063562345
2022-11-04,-0.0019465204205756808,0.8190562200933506,4363,-0.019528383282467754
2022-11-07,-0.002517595888721498,0.818415751688441,4373,-0.021996814593723935
2022-11-08,0.000792628119299293,0.8130055472883201,4371,-0.021221621768206522
2022-11-09,0.0005376819042280659,0.8202430367854261,4355,-0.02069535034598169
2022-11-10,0.0019529356619443718,0.8201316790839889,4367,-0.018782831371764508
2022-11-11,-0.0031330440345198555,0.8209849524637067,4360,-0.02185702796850364
2022-11-14,0.004163550018728246,0.8201890977630486,4361,-0.01778448077898298
2022-11-15,-0.0001225568007243082,0.8172138073651488,4361,-0.017904857970640453
2022-11-16,-0.001114930773414639,0.8153170752355535,4416,-0.018999826066909975
2022-11-17,0.004218154043788831,0.8153824751863968,4437,-0.014861816216276469
2022-11-18,0.00043431699461346827,0.8173032978238026,4438,-0.014433953961016543
2022-11-21,-0.0003659294015038645,0.8203768987060871,4423,-0.014794601554386055
2022-11-22,-0.003663528446767679,0.8226406663314113,4430,-0.018403929557500587
2022-11-23,-0.006219192040133054,0.8209020582087007,4396,-0.02450866402542251
2022-11-24,-0.0006005311236768897,0.8180096486208482,4393,-0.02509447693355238
2022-11-25,-0.0012114058065048183,0.8177446134056765,4402,-0.02627548314498873
2022-11-28,-0.0007922982615384251,0.8164995186687707,4376,-0.02704696338691026
2022-11-29,0.00400063907233995,0.817086085061325,4369,-0.02315452945308416
2022-11-30,-0.0013377706142319356,0.8181166976074065,4359,-0.024461324618227365
2022-12-01,-0.0012064535960571968,0.8187409095502374,4374,-0.025638266761234596
2022-12-02,0.0013840607316701972,0.8214128890824484,4379,-0.024289690947816744
2022-12-05,0.003591683768141541,0.8263304547439492,4387,-0.020785248068385664
2022-12-06,-0.0034667515708946364,0.8294477679913356,4384,-0.024179942347887784
2022-12-07,0.0024596044306283474,0.834799166060073,4382,-0.021779811010590566
2022-12-08,-5.403408320428732e-6,0.8416441208834509,4358,-0.021785096733698994
2022-12-09,0.0012203520168297998,0.8461945818045076,4312,-0.02059133020360493
2022-12-12,0.0006675922609402402,0.8401631746493178,4330,-0.019937484555351048
2022-12-13,0.00368678606632359,0.8405013624368463,4340,-0.01632420372928356
2022-12-14,-0.0021307750929884825,0.8419932744569925,4341,-0.01842019561555286
2022-12-15,-0.002522685116781117,0.8423294613792456,4334,-0.020896412379006413
2022-12-16,0.004622111257208702,0.8443374338853022,4309,-0.01637088666469
2022-12-19,-0.0035454835537393637,0.8464777224479757,4303,-0.01985832750899963
2022-12-20,-0.004015199988121493,0.849508771663904,4306,-0.02379379234074286
2022-12-21,0.0033836183825757824,0.8489805206405104,4296,-0.020490683071322513
2022-12-22,0.0015572170254609078,0.8501325036934847,4318,-0.018965374486403563
2022-12-23,0.0004618087754698672,0.8515555513059467,4331,-0.018512324087301524
2022-12-26,-0.00616441658728555,0.8565835848078801,4332,-0.02456262299691403
2022-12-27,-0.0021304928348762327,0.8526846694455829,4343,-0.026640785339489548
2022-12-28,0.000644576282848114,0.848005763889738,4354,-0.026013381075027597
2022-12-29,-0.001485032223152236,0.8494469786331688,4347,-0.02745978258905024
2022-12-30,0.0012848810234353716,0.844393715272945,4327,-0.026210184119171198
2023-01-03,-0.006064072091843469,0.8450400729166424,4320,-0.032115315764975505
2023-01-04,0.0007874461371515675,0.8365486990436419,4362,-0.03135315870916655
2023-01-05,-0.003949549136759495,0.8296098649190067,4348,-0.035178877005011544
2023-01-06,-0.0037711650032314485,0.8205518292746045,4358,-0.03881737665842877
2023-01-09,-0.00034761450804228895,0.8148630734184567,4360,-0.03915149768318049
2023-01-10,-0.00041041247254845244,0.8064756350511036,4368,-0.03954584189276078
2023-01-11,0.00009821543255266976,0.8049416844835035,4376,-0.03945151047217532
2023-01-12,-0.0019450067186351412,0.7992136366653083,4397,-0.04131978373788181
2023-01-13,0.00006609101167309313,0.7944074188757446,4420,-0.04125642359251813
2023-01-16,-0.0029742259944590312,0.7922871924958124,4448,-0.04410794365948989
2023-01-17,-0.00109643019466275,0.7856542143026877,4491,-0.04515601257289992
2023-01-18,-0.002324257882973469,0.7838151766643185,4490,-0.047375316237687204
2023-01-19,-0.002848853910074173,0.7723717111144663,4486,-0.05008920479285661
2023-01-20,-0.001153676411725071,0.7696933721533069,4489,-0.0511850944705301
2023-01-30,-3.6581988302197646e-6,0.7661463727715395,4498,-0.051188565424107546
2023-01-31,-0.0015089808651995126,0.7620249801780233,4502,-0.052620303723564965
2023-02-01,0.0003737117060452308,0.7548071431905354,4528,-0.05226625684099695
2023-02-02,-0.0007892188127177015,0.754128695399151,4522,-0.053014226140545406
2023-02-03,0.0005652171710463523,0.7601754942819289,4538,-0.05247897352042341
2023-02-06,0.0002871410222965877,0.7681436788666235,4537,-0.05220690136423245
2023-02-07,0.000982553781827791,0.7792952436281366,4542,-0.05127564367077764
2023-02-08,-0.0016810895355078663,0.7830280696016346,4547,-0.05287053425828414
2023-02-09,0.0026433709018568144,0.7849826650421888,4536,-0.05036691978825136
2023-02-10,-0.0014859941557513912,0.7907341198742123,4547,-0.05177806899555415
2023-02-13,0.00002403285091049864,0.795567397245293,4540,-0.051755280519256264
2023-02-14,-0.0006842556698449649,0.7971272420547784,4554,-0.0524041223449615
2023-02-15,0.003983839339869382,0.805417896942207,4566,-0.0486290526092612
2023-02-16,-0.0049560132009064456,0.8146030534101711,4552,-0.053344059583488534
2023-02-17,-0.003518778217057823,0.8207706972024665,4546,-0.05667513188567452
2023-02-20,0.0030525802515248023,0.8341967841359299,4519,-0.05379555702249639
2023-02-21,0.0007184892675262251,0.8375491511942814,4514,-0.05311571928533143
2023-02-22,0.0002665988052674513,0.8502686035287499,4509,-0.052863281067366374
2023-02-23,-0.0016089465760651066,0.8546473338843397,4502,-0.05438717344835864
2023-02-24,0.0016916622869369558,0.8615960321986722,4492,-0.05278751589163733
